Subdomain,IP,Cloudflare
directconnect.ap-southeast-1.amazonaws.com,52.95.35.176,false
directconnect.ap-southeast-2.amazonaws.com,54.240.206.104,false
directconnect.ca-central-1.amazonaws.com,52.94.96.96,false
directconnect.eu-central-1.amazonaws.com,54.239.55.234,false
directconnect.eu-west-1.amazonaws.com,54.239.37.95,false
directconnect.sa-east-1.amazonaws.com,177.72.244.231,false
directconnect.us-east-1.amazonaws.com,54.239.27.51,false
directconnect.us-east-2.amazonaws.com,52.95.20.100,false
directconnect.us-gov-west-1.amazonaws.com,52.46.229.57,false
directconnect.us-west-1.amazonaws.com,176.32.118.217,false
directconnect.us-west-2.amazonaws.com,54.240.255.164,false
discovery.us-west-2.amazonaws.com,54.190.227.15,false
dms.ap-northeast-1.amazonaws.com,52.119.219.6,false
dms.ap-southeast-1.amazonaws.com,52.119.186.136,false
dms.ap-southeast-2.amazonaws.com,52.119.211.67,false
dms.eu-central-1.amazonaws.com,52.119.189.87,false
dms.eu-west-1.amazonaws.com,52.95.114.94,false
dms.us-east-1.amazonaws.com,52.46.135.200,false
dms.us-east-2.amazonaws.com,52.95.17.184,false
dms.us-west-1.amazonaws.com,52.119.180.67,false
dms.us-west-2.amazonaws.com,52.119.163.93,false
dragonfish.eu-west-1.amazonaws.com,54.239.39.133,false
drive.amazonaws.com,52.46.141.106,false
ds.ap-northeast-1.amazonaws.com,54.239.96.111,false
ds.ap-northeast-2.amazonaws.com,52.95.194.50,false
ds.ap-southeast-1.amazonaws.com,52.95.35.59,false
ds.ap-southeast-2.amazonaws.com,52.119.210.254,false
ds.eu-central-1.amazonaws.com,54.239.55.252,false
ds.eu-west-1.amazonaws.com,54.239.36.241,false
ds.us-east-1.amazonaws.com,54.239.28.221,false
ds.us-east-2.amazonaws.com,52.95.16.150,false
ds.us-west-2.amazonaws.com,54.240.249.156,false
dynamodb.ap-northeast-1.amazonaws.com,13.248.70.10,false
dynamodb.ap-northeast-2.amazonaws.com,52.94.6.94,false
dynamodb.ap-south-1.amazonaws.com,52.94.20.152,false
dynamodb.ap-southeast-1.amazonaws.com,52.94.11.22,false
dynamodb.ap-southeast-2.amazonaws.com,52.94.13.64,false
dynamodb.ca-central-1.amazonaws.com,52.94.14.110,false
dynamodb.eu-central-1.amazonaws.com,52.94.17.72,false
dynamodb.eu-west-1.amazonaws.com,52.119.242.44,false
dynamodb.eu-west-2.amazonaws.com,52.94.15.94,false
dynamodb.sa-east-1.amazonaws.com,52.94.7.204,false
dynamodb.us-east-1.amazonaws.com,52.94.0.68,false
dynamodb.us-gov-west-1.amazonaws.com,52.94.9.9,false
dynamodb.us-west-1.amazonaws.com,52.94.12.74,false
